UsageDate,ProjectName,ProjectID,ProjectNumber,InvoiceCost,InvoiceCostAtListAbs,CostAtList,UsageCost,NegotiatedSavings,SavingsPrograms,OtherSavings,SubTotal
2025-08-07,sw-pro-01,sw-pro-01,661100906716,,,,6098.953348,-528.120022,-481.93833,-5088.894927,0.000069
2025-08-07,tools-orion,tools-orion,131225299543,,,,777.368434,-101.053004,0,-33.8153,642.50013
2025-08-07,US-INST-02,us-inst-02,504675810214,,,,61.194146,-8.489635,-4.65161,-5.759195,42.293706
2025-08-06,bambulab,bambulab,322168702712,,,,2303.150634,-28.378186,-720,-1554.772448,-0
2025-08-06,68chat-prod,chat-prod-404613,731808937699,,,,2815.716229,0,-394.231602,-298.324659,2123.159968
2025-08-06,ffalcon-HW-01,ffalcon-hw-01,643550418219,,,,2593.543971,-275.328043,-767.60725,-164.10669,1386.501988
2025-08-06,kade,kade-poc,499036589398,,,,30.251455,-0.870487,0,-0.607617,28.773351
2025-08-06,lagofast-gcp,lagofast-gcp-429609,369988410061,,,,156.139661,0,0,-22.475475,133.664186
2025-08-06,sw-pro-01,sw-pro-01,661100906716,,,,6039.750279,-522.555894,-481.937351,-5035.256958,0.000076
2025-08-06,tools-orion,tools-orion,131225299543,,,,420.485488,-54.65629,0,-18.291138,347.53806
2025-08-06,US-INST-02,us-inst-02,504675810214,,,,61.079982,-8.334849,-4.420132,-5.785227,42.539774
2025-08-05,bambulab,bambulab,322168702712,,,,2436.819321,-38.234959,-720,-1678.584362,-0
2025-08-05,68chat-prod,chat-prod-404613,731808937699,,,,2821.265197,0,-394.539357,-298.935291,2127.790549
2025-08-05,ffalcon-HW-01,ffalcon-hw-01,643550418219,,,,2604.603028,-279.895725,-781.696365,-166.50075,1376.510188
2025-08-05,kade,kade-poc,499036589398,,,,68.675734,-0.81369,0,-0.582064,67.27998
2025-08-05,lagofast-gcp,lagofast-gcp-429609,369988410061,,,,155.02597,0,0,-22.341707,132.684263
2025-08-05,sw-pro-01,sw-pro-01,661100906716,,,,5878.892312,-508.215761,-481.937466,-4888.739027,0.000058
2025-08-05,tools-orion,tools-orion,131225299543,,,,479.156318,-56.025115,0,-380.62318,42.508023
2025-08-05,US-INST-02,us-inst-02,504675810214,,,,60.02267,-8.333775,-3.028239,-5.819029,42.841627
2025-08-04,bambulab,bambulab,322168702712,,,,2457.232347,-39.723894,-720,-1697.508453,0
2025-08-04,68chat-prod,chat-prod-404613,731808937699,,,,2831.102771,0,-394.231327,-300.167396,2136.704048
2025-08-04,ffalcon-HW-01,ffalcon-hw-01,643550418219,,,,2657.567081,-282.554972,-762.910653,-168.786033,1443.315423
2025-08-04,kade,kade-poc,499036589398,,,,35.885321,-0.805221,0,-0.578443,34.501657
2025-08-04,lagofast-gcp,lagofast-gcp-429609,369988410061,,,,152.601343,0,0,-22.050746,130.550597
2025-08-04,sw-pro-01,sw-pro-01,661100906716,,,,4755.853146,-405.958246,-481.937951,-3867.956882,0.000067
2025-08-04,tools-orion,tools-orion,131225299543,,,,502.830092,-57.841636,0,-444.988456,0
2025-08-04,US-INST-02,us-inst-02,504675810214,,,,61.358086,-8.329353,-4.884096,-5.768389,42.376248
2025-08-03,bambulab,bambulab,322168702712,,,,2412.053397,-36.828239,-720,-1655.225158,0
2025-08-03,68chat-prod,chat-prod-404613,731808937699,,,,2829.783847,0,-394.231434,-299.999748,2135.552665
2025-08-03,ffalcon-HW-01,ffalcon-hw-01,643550418219,,,,2717.981483,-287.864721,-762.910635,-174.299907,1492.90622
2025-08-03,kade,kade-poc,499036589398,,,,19.621615,-0.776782,0,-0.565501,18.279332
2025-08-03,lagofast-gcp,lagofast-gcp-429609,369988410061,,,,161.295857,0,0,-23.094218,138.201639
2025-08-03,sw-pro-01,sw-pro-01,661100906716,,,,5269.923333,-452.784842,-481.937769,-4335.200648,0.000074
2025-08-03,tools-orion,tools-orion,131225299543,,,,459.649014,-52.875291,0,-406.773723,-0
2025-08-03,US-INST-02,us-inst-02,504675810214,,,,62.701208,-8.436904,-4.884096,-5.891937,43.488271
2025-08-02,bambulab,bambulab,322168702712,,,,2263.392145,-25.33057,-720,-1518.061575,-0
2025-08-02,68chat-prod,chat-prod-404613,731808937699,,,,2841.361277,0,-394.231176,-301.380558,2145.749543
2025-08-02,ffalcon-HW-01,ffalcon-hw-01,643550418219,,,,2778.745785,-282.368663,-762.910348,-180.864653,1552.602121
2025-08-02,kade,kade-poc,499036589398,,,,52.786564,-0.758475,0,-0.557177,51.470912
2025-08-02,lagofast-gcp,lagofast-gcp-429609,369988410061,,,,164.012053,0,0,-23.420004,140.592049
2025-08-02,sw-pro-01,sw-pro-01,661100906716,,,,5504.690248,-474.399694,-481.937193,-4548.353286,0.000075
2025-08-02,tools-orion,tools-orion,131225299543,,,,429.343749,-49.388292,0,-379.955457,0
2025-08-02,US-INST-02,us-inst-02,504675810214,,,,61.772635,-8.362747,-4.884096,-5.806501,42.719291
2025-08-01,bambulab,bambulab,322168702712,,,,2264.787507,-25.429106,-720,-1519.358401,-0
2025-08-01,68chat-prod,chat-prod-404613,731808937699,,,,2827.830747,0,-394.230695,-299.773121,2133.826931
2025-08-01,ffalcon-HW-01,ffalcon-hw-01,643550418219,,,,2630.147731,-262.000138,-782.458331,-171.545559,1414.143703
2025-08-01,kade,kade-poc,499036589398,,,,52.701359,-0.745329,0,-0.549159,51.406871
2025-08-01,lagofast-gcp,lagofast-gcp-429609,369988410061,,,,153.392473,0,0,-22.145487,131.246986
2025-08-01,sw-pro-01,sw-pro-01,661100906716,,,,6079.076176,-526.232964,-481.937425,-5070.905729,0.000058
2025-08-01,tools-orion,tools-orion,131225299543,,,,469.5366,-54.01387,0,-415.52273,0
2025-08-01,US-INST-02,us-inst-02,504675810214,,,,61.128215,-7.70041,-4.804391,-5.816239,42.807175
2025-07-31,bambulab,bambulab,322168702712,,,,568.450974,-11.009264,-130.147659,-427.294052,-0.000001
2025-07-31,68chat-prod,chat-prod-404613,731808937699,,,,248.190759,0,-44.713693,-24.7106,178.766466
2025-07-31,ffalcon-HW-01,ffalcon-hw-01,643550418219,,,,289.838953,-30.94669,-124.115848,-14.038184,120.738231
2025-07-31,kade,kade-poc,499036589398,,,,1.193989,-0.082106,0,-0.047573,1.06431
2025-07-31,lagofast-gcp,lagofast-gcp-429609,369988410061,,,,20.074361,0,0,-12.782311,7.29205
2025-07-31,sw-pro-01,sw-pro-01,661100906716,,,,823.488243,-34.928415,-74.40432,-714.1555,0.000008
2025-07-31,tools-orion,tools-orion,131225299543,,,,56.59488,-0.543315,0,-56.051565,-0
2025-07-31,US-INST-02,us-inst-02,504675810214,,,,7.81873,-0.977586,-0.931381,-0.630706,5.279057
2025-07-30,bambulab,bambulab,322168702712,,,,3.070665,-0.00014,0,-3.070525,0
2025-07-30,68chat-prod,chat-prod-404613,731808937699,,,,0,0,0,-0.000002,-0.000002
2025-07-30,kade,kade-poc,499036589398,,,,0,0,0,-0.000001,-0.000001
2025-07-30,sw-pro-01,sw-pro-01,661100906716,,,,-0.603948,0,0,0.603948,0
2025-07-29,ffalcon-HW-01,ffalcon-hw-01,643550418219,,,,-0.00011,0.000016,0.000002,0.000009,-0.000083
2025-07-29,US-INST-02,us-inst-02,504675810214,,,,0,0,0,0,0
